# Emergency Corridor Edges (node_id_1, node_id_2, tier)
30297454,cluster_2473394000_2473394005_30297525,secondary
243338863,365565046,secondary
363877276,598224997,secondary
1303465750,30333337,secondary
6842012554,7580972991,secondary
9769855902,9769889195,tertiary
4397169294,5306386384,secondary
262251530,312894015,secondary
12952468148,1622039331,secondary
269382573,269382682,secondary
359235500,359236302,secondary
30294510,364720250,secondary
12952598281,30297381,secondary
364669872,5936863414,primary
1623835963,1623835965,secondary
312894381,cluster_1297445112_247637112_2810872737_2810990580_#1more,primary
12950683863,8392166381,secondary
320857511,425635744,primary
30333392,415942346,secondary
750591201,cluster_1479334915_750591202,secondary
cluster_126798002_126800097_426891064,cluster_126800081_213942769_426891063,secondary
7252348215,cluster_1002675916_1002710245,secondary
1298458116,8283982042,tertiary
30253380,30689524,secondary
1307297617,814239845,secondary
1624948210,30246768,secondary
12256308653,1307272004,secondary
1086926758,1086926772,secondary
806808396,806808404,primary
690679249,7233634040,primary
30556620,cluster_412398689_412398695,primary
416012196,416012205,primary
690424476,cluster_4346118755_4346122994_689430467,secondary
1357271796,331355854,primary
240882893,cluster_240936353_30227495,secondary
1377806906,693196406,secondary
262250645,4880337149,secondary
30251189,339961223,secondary
561521686,6916767944,secondary
3053342333,442540243,secondary
677439916,cluster_690679102_690679104,secondary
10226421381,30556161,secondary
1853174712,cluster_462641356_8172065151,primary
30294439,30294440,secondary
cluster_1295286769_615815435,cluster_615815434_629327975,primary
30558241,688393834,secondary
1043855098,125935921,secondary
5329931772,598223793,secondary
364669779,412453976,primary
59850116,cluster_1378087192_557230563,secondary
11351487218,30246674,primary
1001228501,506223397,secondary
1368967593,2412830244,secondary
30617608,30617611,tertiary
535228390,8165483916,secondary
3055187870,30558244,primary
1043925396,1043925401,secondary
126812847,cluster_126800081_213942769_426891063,secondary
35120262,6992861712,secondary
30689533,4435194975,secondary
30243253,533662625,secondary
668486347,940874206,secondary
1400747719,1400747727,secondary
1148143947,598223867,secondary
1934457500,30312840,secondary
30294673,30294674,secondary
1299629083,481146953,secondary
903233293,cluster_12945165121_12945165124_12945165125_4538123364_#3more,secondary
30314637,59749808,secondary
1716858620,30294565,tertiary
316877767,5329931772,secondary
2589060116,4850661055,secondary
2533347689,cluster_1935827759_6002052354_622350685,tertiary
10814722755,5264791965,secondary
30294698,cluster_30294696_3055187868,tertiary
30914404,530687855,secondary
30294569,cluster_30294530_533615996,primary
543552991,560025956,secondary
559419000,620148198,primary
30884341,cluster_30884329_775644929,secondary
429350512,cluster_12643851450_429350330_583257391_8185022738,primary
11370726443,30247434,primary
30313125,364722133,secondary
1622039331,598220048,secondary
30246702,8180094958,primary
359234292,9029647953,primary
30237533,30558512,secondary
11881496140,4354482929,secondary
21638921,21638922,secondary
448700549,cluster_448786030_4525195639_6120152819_6952525518,secondary
2513316044,630602346,secondary
1378950924,364820418,secondary
2450895997,8453810777,primary
1009334419,2984928288,secondary
30243877,30243887,secondary
cluster_1312053372_421265639,cluster_2293731677_2293731679,secondary
390227124,cluster_390227125_390227126_6248912559_8529610210,secondary
30333341,30556754,secondary
12919170685,540312581,secondary
30227468,30884331,tertiary
1860569743,1860569744,secondary
2473393899,cluster_2473393853_2473393864_2473393875_2473393884_#4more,secondary
2689711017,cluster_387127587_863733378,primary
1621899823,30312830,secondary
493241896,506223416,secondary
10182235280,30254224,secondary
416523680,cluster_425612029_6148219578,primary
506223417,597239682,primary
6319813807,cluster_1126998877_1126998911_12953261509,primary
30264417,30264418,secondary
30243447,616512950,secondary
2588057862,340195871,secondary
1938243778,4338253064,secondary
1075648459,412451017,tertiary
420553182,cluster_420553141_420553180,secondary
4346093754,7087019728,secondary
541643980,541643986,secondary
1857472174,1857472214,primary
8132079773,8132079775,secondary
269376044,9794956144,secondary
12952598284,315486996,primary
695092722,695092723,secondary
692263342,693196413,primary
125935921,31286309,primary
364718315,cluster_11877585718_126781133_1377806816,primary
568117147,568117156,primary
3306168426,3306168428,secondary
243336862,30244000,secondary
1766512554,1768555378,secondary
30689533,4385157796,secondary
30313241,30313244,tertiary
30243881,30243891,secondary
2872559395,30295094,secondary
2540121396,358505175,primary
387127544,387127590,primary
