orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
30238026,442540300,15,15,80.10714285714286,116.66666666666667,6.236095644623236,850.0,850.0,0.0
1311619340,12953119988,15,15,50.10714285714285,61.666666666666664,2.357022603955158,613.0,613.0,0.0
cluster_30237612_6670690974,30237772,5,5,32.64285714285714,35.0,0.0,457.0,457.0,0.0
7806252248,1311619368,30,30,12.267857142857144,30.833333333333332,9.753916592266355,123.0,123.0,0.0
2989836087,30237772,10,10,92.38690476190476,117.5,12.5,998.0,998.0,0.0
2989836095,8264714837,40,0,0.0,0.0,0.0,0.0,0.0,0.0
30237633,6762205335,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30238029,9223593605,20,20,107.49404761904762,150.0,11.180339887498949,1127.0,1127.0,0.0
2989836095,4222882539,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30247432,5375631705,20,0,0.0,0.0,0.0,0.0,0.0,0.0
8197554957,9803583625,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30237633,30237640,35,0,0.0,0.0,0.0,0.0,0.0,0.0
6985826711,30243368,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30237637,11370726443,25,25,75.35714285714286,97.0,9.273618495495704,1053.0,1055.0,0.0
12953119988,6762205322,5,0,0.0,0.0,0.0,0.0,0.0,0.0
8210106342,cluster_301572399_301572961_71643538,15,15,96.32142857142857,116.66666666666667,6.236095644623236,885.0,1049.6666666666667,116.43691663538482
8264714837,1311619340,5,0,0.0,0.0,0.0,0.0,0.0,0.0
5375631705,8197554957,35,35,108.4702380952381,167.14285714285714,12.205719636167903,1224.0,1256.7142857142858,80.13330729962111
7005287334,30247432,15,15,12.821428571428571,26.666666666666668,8.498365855987975,166.0,166.0,0.0
30237772,30243366,15,15,82.85714285714286,100.0,14.719601443879744,926.0,1158.3333333333333,2.3570226039551585
4897232218,30247089,5,5,74.07142857142857,95.0,0.0,821.0,821.0,0.0
6762205322,30237640,40,0,0.0,0.0,0.0,0.0,0.0,0.0
30238029,8193762124,15,15,65.28571428571428,86.66666666666667,6.236095644623236,707.0,709.3333333333334,0.9428090415820634
30243323,6874436644,10,10,75.10714285714286,87.5,7.5,669.0,669.0,0.0
30243323,442540300,20,20,112.25,182.5,16.00781059358212,1387.0,1387.5,0.8660254037844386
4897232219,9803583625,5,0,0.0,0.0,0.0,0.0,0.0,0.0
3236553576,3213093362,40,40,123.23809523809524,246.25,36.72107705392095,1149.0,1149.0,0.0
30238027,30247166,15,15,97.08928571428572,118.33333333333333,4.714045207910316,894.0,972.3333333333334,110.78006238589245
12944467681,4897232219,30,0,0.0,0.0,0.0,0.0,0.0,0.0
30237638,1362899971,15,15,17.78571428571429,31.666666666666668,2.3570226039551585,249.0,249.0,0.0
30237641,12884439746,20,0,0.0,0.0,0.0,0.0,0.0,0.0
6762205322,12953119988,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2989836087,8264714837,55,55,105.45833333333333,170.0,33.91164991562634,1181.0,1202.090909090909,66.695310650824
30237633,cluster_301572460_301572949_71643543,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30243367,30238029,30,0,0.0,0.0,0.0,0.0,0.0,0.0
30243323,5375631705,10,0,0.0,0.0,0.0,0.0,0.0,0.0
cluster_301572399_301572961_71643538,10896077231,15,0,0.0,0.0,0.0,0.0,0.0,0.0
12953119985,2989836095,10,0,0.0,0.0,0.0,0.0,0.0,0.0
8097436674,9042478734,30,0,0.0,0.0,0.0,0.0,0.0,0.0
